Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
512;1662512472743;07/09/2022 01:01:12;1662512472686;-5;06/09/2022 20:01:12;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;86;72;7;Outcome;Zone6;timelimit_screen;1503.9899999999907;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;85;85;Block 3;67;85;8
513;1662512473208;07/09/2022 01:01:13;1662512473136;-5;06/09/2022 20:01:13;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;87;73;1;Fixation;fixation;fixation;451.1970000000438;;;;;0;1;0;;;;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;86;86;Block 3;68;86;8
514;1662512474096;07/09/2022 01:01:14;1662512474031;-5;06/09/2022 20:01:14;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;87;73;2;Start;ButtonYellow;response_button_image;851.3999999985099;;;yellow buttonYB.png;1;1;0;0;;;;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;86;86;Block 3;68;86;8
515;1662512475084;07/09/2022 01:01:15;1662512475025;-5;06/09/2022 20:01:15;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;87;73;3;Correct;Zone6;timelimit_screen;1002.6600000000326;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;86;86;Block 3;68;86;8
516;1662512475237;07/09/2022 01:01:15;1662512475098;-5;06/09/2022 20:01:15;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;87;73;6;ProgBarUpdate;Zone6;timelimit_screen;33.42199999996228;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;86;86;Block 3;68;86;8
517;1662512475237;07/09/2022 01:01:15;1662512475104;-5;06/09/2022 20:01:15;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;TaskScore;;;;;;;;;123;0;1;0;;;;;;;;;;;;;;;;;;;;;
518;1662512476617;07/09/2022 01:01:16;1662512476562;-5;06/09/2022 20:01:16;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;87;73;7;Outcome;Zone6;timelimit_screen;1503.990000000049;;;;;0;1;0;;;1;;6;B1True;yellow buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;86;86;Block 3;68;86;8
519;1662512477117;07/09/2022 01:01:17;1662512477013;-5;06/09/2022 20:01:17;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;81;74;1;Fixation;fixation;fixation;451.19699999998556;;;;;0;1;0;;;;;6;B1True;blue buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;blue buttonYB.png;yellow buttonYB.png;80;80;Block 3;62;80;8
520;1662512477998;07/09/2022 01:01:17;1662512477935;-5;06/09/2022 20:01:17;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;81;74;2;Start;ButtonBlue;response_button_image;877.1000000014901;;;blue buttonYB.png;1;1;0;0;;;;;6;B1True;blue buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;blue buttonYB.png;yellow buttonYB.png;80;80;Block 3;62;80;8
521;1662512479027;07/09/2022 01:01:19;1662512478935;-5;06/09/2022 20:01:18;74063;32;task-j2h4;;24003424;bnrhmsdo;7077797;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.2;Chrome 104.0.0.0;1440x900;1440x900;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;81;74;3;Correct;Zone6;timelimit_screen;1002.6600000000326;;;;;0;1;0;;;1;;6;B1True;blue buttonYB.png;4555YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;blue buttonYB.png;yellow buttonYB.png;80;80;Block 3;62;80;8
