Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;age;country-1;country-text;country-other;sex-1;sex-2;sex-3;sex-text;sex-other;education-1;education-2;education-3;education-4;education-5;education-text;education-other;occupation-1;occupation-2;occupation-3;occupation-4;occupation-5;occupation-text;occupation-other;mental_health_disorder_yes_no-1;mental_health_disorder_yes_no-text;mental_health_disorder_yes_no-other;ethnicity-1;ethnicity-2;ethnicity-3;ethnicity-4;ethnicity-text;ethnicity-other;END QUESTIONNAIRE
1;1674501480766;23/01/2023 19:18:00;1674501480349;3;23/01/2023 22:18:00;74063;38;questionnaire-s5wi;;26573913;bu9r8lu2;7856335;;complete;;;mobile;undefined Infinix X656;Android 10;Chrome 109.0.0.0;450x1000;450x846;Space Task Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;24;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;13240
1;1674500201471;23/01/2023 18:56:41;1674499999773;0;23/01/2023 18:53:19;74063;38;questionnaire-s5wi;;26572504;0yg45t67;7855735;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1366x768;1242x568;Social Task Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;No;25;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;47138
1;1674500181237;23/01/2023 18:56:21;1674500181134;-5;23/01/2023 13:56:21;74063;38;questionnaire-s5wi;;26572479;xaq3djbm;7855781;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;17;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;;Mixed or Multiple ethnic background;;;44210
1;1674499858932;23/01/2023 18:50:58;1674499858561;3;23/01/2023 21:50:58;74063;38;questionnaire-s5wi;;26572243;ghxl01sl;7855588;;live;;;mobile;undefined itel A631W;Android 11;Chrome WebView 108.0.5359.128;361x762;361x630;CEQ__cannabis_user_done;;;Demographics;8;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;25;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;Not employed;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;85996
1;1674497622384;23/01/2023 18:13:42;1674497420701;0;23/01/2023 18:10:20;74063;38;questionnaire-s5wi;;26571196;tbxpph0p;7855275;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1366x768;1242x568;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;20;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;118030
1;1674495833694;23/01/2023 17:43:53;1674494556604;3;23/01/2023 20:22:36;74063;38;questionnaire-s5wi;;26570460;2izdjyt7;7854962;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 108.0.0.0;1366x768;1350x656;CEQ_done_no_cannabis;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;22;United Kingdom;;;Male;;;;;;High School;;;;;;;Part-time employment;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;56037
1;1674494865032;23/01/2023 17:27:45;1674494861784;-5;23/01/2023 12:27:41;74063;38;questionnaire-s5wi;;26570002;dcj7gnmr;7854770;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;25;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;;;;Mixed or Multiple ethnic background;;;30407
1;1674493008528;23/01/2023 16:56:48;1674493008040;3;23/01/2023 19:56:48;74063;38;questionnaire-s5wi;;26568962;rvtce3b3;7854356;;complete;;;mobile;undefined Infinix X656;Android 10;Chrome 109.0.0.0;450x1000;450x846;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;White;;;;;;17466
1;1674492655489;23/01/2023 16:50:55;1674492655355;3;23/01/2023 19:50:55;74063;38;questionnaire-s5wi;;26568683;ih65721c;7854257;;live;;;mobile;OPPO CPH2473;Android 12;Chrome 109.0.0.0;360x806;360x626;CEQ_done_no_cannabis;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;22;United Kingdom;;;Male;;;;;;High School;;;;;;;Part-time employment;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;33700
1;1674491563325;23/01/2023 16:32:43;1674491361691;0;23/01/2023 16:29:21;74063;38;questionnaire-s5wi;;26568038;kuz3v5a9;7853999;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1366x768;1242x568;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;23;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;30030
