Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
1;1665806675587;15/10/2022 04:04:35;1665806673230;2;15/10/2022 06:04:33;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;854x384;775x312;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;
2;1665806679394;15/10/2022 04:04:39;1665806677077;2;15/10/2022 06:04:37;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;854x384;775x312;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;1;1;1;FullscreenCheck;script;force_advance;3827.520999999999;;;;;0;1;0;;;;;;ScreenCheck;;;;;;;;;;0;0;;;0;8
3;1665806681397;15/10/2022 04:04:41;1665806679117;2;15/10/2022 06:04:39;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;2;1;1;GeneralInstruction;advancementZone;continue_button;1746.5999999642372;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;8
4;1665806683740;15/10/2022 04:04:43;1665806681397;2;15/10/2022 06:04:41;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;2;1;2;PracticeInstruction;advancementZone;continue_button;2250.800000011921;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;8
5;1665806683858;15/10/2022 04:04:43;1665806681414;2;15/10/2022 06:04:41;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;3;1;1;Screen 1;Zone1;timelimit_screen;8.282999999999447;;;;;0;1;0;;;1;;;HiddenScoreSetPractice;;;;;;;;;;2;2;HiddenScoreSetPractice;;2;8
6;1665806684138;15/10/2022 04:04:44;1665806681841;2;15/10/2022 06:04:41;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;11;1;1;Fixation;fixation;fixation;446.04599999999846;;;;;0;1;0;;;;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;10;10;Practice;;10;8
7;1665806687548;15/10/2022 04:04:47;1665806685261;2;15/10/2022 06:04:45;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;11;1;2;Start;ButtonYellow;response_button_image;3224.100000023842;;;yellow buttonYB.png;1;1;0;0;;;;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;10;10;Practice;;10;8
8;1665806688561;15/10/2022 04:04:48;1665806686256;2;15/10/2022 06:04:46;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;11;1;3;Correct;Zone6;timelimit_screen;1002.755000000001;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;10;10;Practice;;10;8
9;1665806688691;15/10/2022 04:04:48;1665806686397;2;15/10/2022 06:04:46;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;all_spreadsheets;11;1;6;ProgBarUpdate;Zone6;timelimit_screen;140.91300000000047;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;10;10;Practice;;10;8
10;1665806688824;15/10/2022 04:04:48;1665806686422;2;15/10/2022 06:04:46;74063;33;task-fch3;;24553790;vs06bu2t;7255776;;live;;;mobile;Samsung SM-A528B;Android 12;Samsung Browser 18.0;823x384;823x384;CEQ__cannabis_user_done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;all_spreadsheets;;;PracticeScore;;;;;;;;;5;0;1;0;;;;;;;;;;;;;;;;;;;;;
