Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;Understanding;Reading_Information;Inclusion_Criteria;Withdraw_Keep_Info;Understand_dataprotection;understand_GDPR;Understanding_Not_Identifiable;Use_data_future_research;END QUESTIONNAIRE
1;1658940858915;27/07/2022 16:54:18;1658940858896;1;27/07/2022 17:54:18;74063;30;questionnaire-vlry;;23336612;sj8kfme0;6848225;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;390x663;Cape-15_Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;;;;right_age;;;;No;1;1;1;1;1;1;1;1;13747
1;1658942124610;27/07/2022 17:15:24;1658942124473;1;27/07/2022 18:15:24;74063;30;questionnaire-vlry;;23337335;5mvd4d5o;6848387;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;390x844;750x307;Social Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;21994
1;1658945518986;27/07/2022 18:11:58;1658945518877;1;27/07/2022 19:11:58;74063;30;questionnaire-vlry;;23338924;wsuiwvzw;6848700;;live;;;mobile;Apple iPhone;iOS 15.4.1;Instagram 245.0.0.13.110;414x896;414x828;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;5713
1;1658945703922;27/07/2022 18:15:03;1658945703833;2;27/07/2022 20:15:03;74063;30;questionnaire-vlry;;23338991;eq7i1qqa;6848718;;live;;;mobile;Apple iPhone;iOS 15.5;Mobile Safari 15.5;414x896;414x718;Cape-15_Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;;;;right_age;;;;No;1;1;1;1;1;1;1;1;28819
1;1658955276028;27/07/2022 20:54:36;1658955275810;1;27/07/2022 21:54:35;74063;30;questionnaire-vlry;;23341237;pc1yqzfk;6849268;;live;;;mobile;Apple iPhone;iOS 15.5;Instagram 244.0.0.12.112;414x896;414x828;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;9416
1;1659001349396;28/07/2022 09:42:29;1659001349212;2;28/07/2022 11:42:29;74063;30;questionnaire-vlry;;23347162;dd6mp8fv;6850800;;live;;;mobile;Apple iPhone;iOS 15.4.1;Mobile Safari 15.4;375x812;375x635;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;16821
1;1659002027983;28/07/2022 09:53:47;1659002027957;-6;28/07/2022 03:53:47;74063;30;questionnaire-vlry;;23347287;28ja88rq;6850839;;live;;;mobile;Google Pixel 6;Android 12;Chrome 103.0.0.0;412x915;412x796;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;13283
1;1659002214897;28/07/2022 09:56:54;1659002214292;2;28/07/2022 11:56:54;74063;30;questionnaire-vlry;;23347329;qoxq3sqa;6850848;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 103.0.0.0;1366x768;1366x625;Space Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;114068
1;1659019751163;28/07/2022 14:49:11;1659019751857;1;28/07/2022 15:49:11;74063;30;questionnaire-vlry;;23354620;36x4rpx2;6852713;;live;;;mobile;Samsung SM-G998B;Android 12;Instagram 245.0.0.18.108;384x854;384x731;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;5524
1;1659029105735;28/07/2022 17:25:05;1659029105659;1;28/07/2022 18:25:05;74063;30;questionnaire-vlry;;23357262;e7ob5tzb;6853667;;live;;;mobile;Apple iPhone;iOS 15.5;Instagram 244.0.0.12.112;390x844;390x777;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;14179
