Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
897;1647357135350;15/03/2022 15:12:15;1647357135262;0;15/03/2022 15:12:15;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;158;135;1;Fixation;fixation;fixation;449.98199999995995;;;;;0;1;0;;;;;10;B1True;blue buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;157;157;Block 5;135;157;7
898;1647357135967;15/03/2022 15:12:15;1647357135889;0;15/03/2022 15:12:15;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;158;135;2;Start;ButtonBlue;response_button_image;584;;;blue buttonYB.png;1;1;0;0;;;;;10;B1True;blue buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;157;157;Block 5;135;157;7
899;1647357136964;15/03/2022 15:12:16;1647357136880;0;15/03/2022 15:12:16;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;158;135;3;Correct;Zone6;timelimit_screen;999.9599999999627;;;;;0;1;0;;;1;;10;B1True;blue buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;157;157;Block 5;135;157;7
900;1647357137030;15/03/2022 15:12:17;1647357136923;0;15/03/2022 15:12:16;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;158;135;6;ProgBarUpdate;Zone6;timelimit_screen;33.332000000053085;;;;;0;1;0;;;1;;10;B1True;blue buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;157;157;Block 5;135;157;7
901;1647357137030;15/03/2022 15:12:17;1647357136927;0;15/03/2022 15:12:16;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;;;TaskScore;;;;;;;;;138;0;1;0;;;;;;;;;;;;;;;;;;;;;
902;1647357138498;15/03/2022 15:12:18;1647357138412;0;15/03/2022 15:12:18;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;158;135;7;Outcome;Zone6;timelimit_screen;1499.9399999999441;;;;;0;1;0;;;1;;10;B1True;blue buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;157;157;Block 5;135;157;7
903;1647357141330;15/03/2022 15:12:21;1647357141240;0;15/03/2022 15:12:21;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;159;9;1;Quality Q;buttonC;response_button_text;2817;;;Misleading and Incorrect;1;0;1;0;;;;;;Feedback;;;;;;;;;;158;158;Feedback;;158;7
904;1647357145007;15/03/2022 15:12:25;1647357144923;0;15/03/2022 15:12:24;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;159;9;2;Intentionality Q;buttonC;response_button_text;3672.6999999284744;;;Intentionally Misleading;1;0;1;0;;;;;;Feedback;;;;;;;;;;158;158;Feedback;;158;7
905;1647357146023;15/03/2022 15:12:26;1647357145940;0;15/03/2022 15:12:25;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;159;9;3;Continue;advancementZone;continue_button;1010;;;;;0;1;0;;;;;;Feedback;;;;;;;;;;158;158;Feedback;;158;7
906;1647357146463;15/03/2022 15:12:26;1647357146378;0;15/03/2022 15:12:26;74063;16;task-fch3;;20407121;PA;6046830;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.51;1440x900;1440x900;Space Task Done;;;SocialTask2021;1;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;all_spreadsheets;all_spreadsheets;160;136;1;Fixation;fixation;fixation;449.98199999995995;;;;;0;1;0;;;;;11;B1True;yellow buttonYB.png;5545YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;159;159;Block 5;136;159;7
